threshold,sensitivity,specificity,precision,f1
0.01,1.0,0.21564885496183206,0.10652173913043478,0.1925343811394892
0.02,0.9591836734693877,0.42366412213740456,0.1346704871060172,0.23618090452261306
0.03,0.9591836734693877,0.5400763358778626,0.16319444444444445,0.2789317507418398
0.04,0.9183673469387755,0.6202290076335878,0.18442622950819673,0.30716723549488056
0.05,0.8979591836734694,0.6641221374045801,0.2,0.3271375464684015
0.06,0.8367346938775511,0.7022900763358778,0.20812182741116753,0.3333333333333333
0.07,0.8163265306122449,0.7404580152671756,0.22727272727272727,0.35555555555555557
0.08,0.7959183673469388,0.7690839694656488,0.24375,0.37320574162679426
0.09,0.7959183673469388,0.8015267175572519,0.2727272727272727,0.40625
0.1,0.7755102040816326,0.816793893129771,0.2835820895522388,0.41530054644808745
0.11,0.7142857142857143,0.8396946564885496,0.29411764705882354,0.4166666666666667
0.12,0.6530612244897959,0.851145038167939,0.2909090909090909,0.4025157232704403
0.13,0.6326530612244898,0.8721374045801527,0.3163265306122449,0.4217687074829932
0.14,0.5918367346938775,0.8778625954198473,0.3118279569892473,0.4084507042253521
0.15,0.5918367346938775,0.8797709923664122,0.31521739130434784,0.41134751773049644
0.16,0.5714285714285714,0.8854961832061069,0.3181818181818182,0.40875912408759124
0.17,0.5510204081632653,0.8931297709923665,0.3253012048192771,0.4090909090909091
0.18,0.5510204081632653,0.8950381679389313,0.32926829268292684,0.4122137404580153
0.19,0.5510204081632653,0.898854961832061,0.3375,0.4186046511627907
0.2,0.5306122448979592,0.9026717557251909,0.33766233766233766,0.4126984126984127
0.21,0.5102040816326531,0.9122137404580153,0.352112676056338,0.4166666666666667
0.22,0.5102040816326531,0.9141221374045801,0.35714285714285715,0.42016806722689076
0.23,0.5102040816326531,0.9198473282442748,0.373134328358209,0.43103448275862066
0.24,0.4489795918367347,0.9217557251908397,0.3492063492063492,0.39285714285714285
0.25,0.4489795918367347,0.9274809160305344,0.36666666666666664,0.4036697247706422
0.26,0.40816326530612246,0.9312977099236641,0.35714285714285715,0.38095238095238093
0.27,0.40816326530612246,0.9370229007633588,0.37735849056603776,0.39215686274509803
0.28,0.40816326530612246,0.9389312977099237,0.38461538461538464,0.39603960396039606
0.29,0.40816326530612246,0.9389312977099237,0.38461538461538464,0.39603960396039606
0.3,0.3673469387755102,0.9389312977099237,0.36,0.36363636363636365
0.31,0.3673469387755102,0.9408396946564885,0.3673469387755102,0.3673469387755102
0.32,0.3673469387755102,0.9408396946564885,0.3673469387755102,0.3673469387755102
0.33,0.3673469387755102,0.9427480916030534,0.375,0.3711340206185567
0.34,0.32653061224489793,0.9427480916030534,0.34782608695652173,0.3368421052631579
0.35000000000000003,0.32653061224489793,0.9484732824427481,0.37209302325581395,0.34782608695652173
0.36,0.32653061224489793,0.9484732824427481,0.37209302325581395,0.34782608695652173
0.37,0.30612244897959184,0.9522900763358778,0.375,0.33707865168539325
0.38,0.30612244897959184,0.9561068702290076,0.39473684210526316,0.3448275862068966
0.39,0.2653061224489796,0.9580152671755725,0.37142857142857144,0.30952380952380953
0.4,0.2653061224489796,0.9618320610687023,0.3939393939393939,0.3170731707317073
0.41000000000000003,0.2653061224489796,0.9618320610687023,0.3939393939393939,0.3170731707317073
0.42,0.2653061224489796,0.9618320610687023,0.3939393939393939,0.3170731707317073
0.43,0.24489795918367346,0.9618320610687023,0.375,0.2962962962962963
0.44,0.24489795918367346,0.9618320610687023,0.375,0.2962962962962963
0.45,0.22448979591836735,0.9618320610687023,0.3548387096774194,0.275
0.46,0.22448979591836735,0.9618320610687023,0.3548387096774194,0.275
0.47000000000000003,0.22448979591836735,0.9656488549618321,0.3793103448275862,0.28205128205128205
0.48,0.22448979591836735,0.9656488549618321,0.3793103448275862,0.28205128205128205
0.49,0.20408163265306123,0.9656488549618321,0.35714285714285715,0.2597402597402597
0.5,0.20408163265306123,0.9656488549618321,0.35714285714285715,0.2597402597402597
